 ,Trend in,Trendklasse gehele periode,Trendklasse laatste 10 jaar,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brilduiker,populatie-aantal,Matige afname,Matige afname,100,265,322,135,96,361,291,257,96,74,191,87,57,70,70,39,43,65,22,30,39,48,22,61,22,43
Dodaars,populatie-aantal,Matige toename,Onzeker,100,91,78,78,123,187,217,101,81,81,226,145,135,326,283,235,496,636,452,381,425,335,197,243,420,226
Drieteenstrandloper,populatie-aantal,Stabiel,Matige afname,100,77,40,48,50,79,90,87,52,110,87,192,154,256,188,237,144,246,250,181,258,213,229,137,96,65
Dwergstern,populatie-aantal,Stabiel,Onzeker,100,48,64,84,52,49,81,112,106,105,99,79,70,73,68,68,80,174,203,168,38,6,39,106,125,81
Fuut,populatie-aantal,Matige afname,Matige afname,100,110,148,131,185,367,196,104,96,140,126,123,112,99,64,46,47,60,81,68,43,53,42,40,38,41
Geoorde Fuut,populatie-aantal,Onzeker,Onzeker,,,100,33,50,117,167,0,33,17,0,0,17,233,0,0,0,17,0,117,50,83,33,0,0,0
Groenpootruiter,populatie-aantal,Stabiel,Matige afname,100,84,80,76,122,136,198,149,193,167,178,222,253,187,200,171,153,138,162,142,149,171,120,113,96,96
Grote Mantelmeeuw,populatie-aantal,Stabiel,Matige afname,100,66,181,170,168,222,164,91,205,129,164,130,126,90,138,78,94,187,91,92,86,78,71,60,0,0
Kanoet,populatie-aantal,Matige afname,Onzeker,100,53,49,50,93,60,237,120,114,111,94,96,69,40,97,146,226,167,240,187,289,179,137,213,96,50
Kleine Zilverreiger,populatie-aantal,Sterke toename,Matige toename,,,,100,133,1000,1300,467,567,1067,2800,3333,4333,5933,7033,7267,7867,12167,11100,10900,6100,7467,6667,5100,7067,9733
Kluut,populatie-aantal,Stabiel,Matige afname,100,73,87,94,82,140,112,77,71,94,114,130,130,92,122,135,136,129,148,126,114,134,83,83,83,90
Kokmeeuw,populatie-aantal,Matige afname,Matige afname,100,114,74,79,79,79,76,72,63,55,61,48,47,45,43,41,39,35,42,46,49,49,42,35,0,0
Kuifduiker,populatie-aantal,Matige afname,Matige afname,100,100,0,0,200,0,500,200,0,200,100,0,300,0,100,100,0,0,0,0,0,0,0,0,0,100
Lepelaar,populatie-aantal,Sterke toename,Sterke toename,100,223,92,200,15,238,331,385,654,554,585,769,1031,554,454,700,808,746,1062,1108,2462,2408,2000,2846,3138,3023
Middelste Zaagbek,populatie-aantal,Sterke afname,Sterke afname,100,192,155,76,157,235,243,85,102,129,101,78,70,88,52,30,27,25,22,22,19,20,23,29,18,23
Pijlstaart,populatie-aantal,Stabiel,Onzeker,100,72,122,183,228,103,122,181,483,267,200,278,383,367,233,147,142,142,122,156,103,169,167,183,314,175
Regenwulp,populatie-aantal,Matige toename,Matige toename,100,63,74,105,45,72,51,128,123,68,72,154,86,135,189,158,274,222,318,254,305,386,291,175,357,414
Rosse Grutto,populatie-aantal,Matige afname,Matige afname,100,114,143,77,87,101,125,101,113,99,100,145,110,101,90,106,104,87,81,80,113,87,86,77,58,42
Scholekster,populatie-aantal,Stabiel,Stabiel,100,107,107,124,124,152,165,131,143,148,94,82,92,82,91,91,120,107,99,87,84,79,74,80,88,80
Steenloper (wint. Eur.),populatie-aantal,Matige afname,Sterke afname,100,120,81,72,85,115,100,95,117,166,90,73,85,77,61,70,71,61,76,64,50,50,46,46,37,23
Stormmeeuw,populatie-aantal,Sterke toename,Onzeker,100,123,113,51,101,106,108,101,86,92,103,110,118,122,124,124,123,121,119,0,0,0,0,0,0,0
Strandplevier,populatie-aantal,Sterke afname,Sterke afname,100,154,97,101,93,73,64,83,112,73,60,50,45,33,26,25,15,20,22,17,14,12,11,11,10,2
Tureluur,populatie-aantal,Matige afname,Matige afname,100,101,83,72,85,121,113,92,74,121,111,139,140,117,110,104,99,96,111,96,114,97,69,63,69,75
Visdief,populatie-aantal,Stabiel,Onzeker,100,99,84,68,71,84,91,105,110,118,122,146,87,121,100,40,97,132,113,68,57,34,92,80,86,107
Wintertaling,populatie-aantal,Matige toename,Stabiel,100,265,190,126,139,213,129,103,213,142,155,323,294,342,261,190,174,119,161,113,165,213,187,310,229,303
Wulp,populatie-aantal,Matige toename,Matige toename,100,90,91,77,79,114,83,83,103,77,84,87,103,98,90,111,123,135,129,114,125,143,126,123,145,129
Zilvermeeuw,populatie-aantal,Sterke toename,Matige afname,100,200,396,308,338,335,331,265,296,288,392,385,285,269,231,250,235,219,246,0,0,0,0,0,0,0
Zilverplevier,populatie-aantal,Stabiel,Stabiel,100,117,148,121,112,146,135,97,77,93,83,99,86,67,84,119,155,114,112,122,105,97,94,68,81,82
Zwartbuikrotgans,populatie-aantal,Matige toename,Onzeker,100,245,248,321,388,262,443,343,164,138,105,238,88,119,140,76,250,176,393,543,155,326,214,179,160,490
Zwarte Ruiter,populatie-aantal,Matige afname,Sterke afname,100,98,109,207,121,147,153,135,151,109,123,175,186,158,102,125,121,89,89,81,68,49,53,35,44,39
