Soort,Year,Bot,Dikkopje,Dwergbolk,Dwergtong,Grauwe poon,Griet,Haring,Harnasmannetje,Horsmakreel,Kabeljauw,Kleine pieterman,Kleine zandspiering,Pitvis,Puitaal,Rasterpitvis,Rode poon,Schar,Schol,Schurftvis,Slakdolf,Smelt,Spiering,Sprot,Steenbolk,Tarbot,Tong,Tongschar,Vijfdradige meun,Wijting,Zeedonderpad,Zeenaalden indet.
Bodemfauna,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodemfauna,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogels,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
